Number	Name	IsActive			
174	KRATKOROČNE FINANČNE NALOŽBE V DELNICE IN DELEŽE PRIDRUŽENIH DRUŽB  IN SKUPAJ OBVLADOVANIH DRUŽB, RAZPOREJENE IN IZMERJENE PO POŠTENI VREDNOSTI PREK POSLOVNEGA IZIDA	 Da	  		  
175	KRATKOROČNE FINANČNE NALOŽBE V DELNICE IN DELEŽE PRIDRUŽENIH DRUŽB  IN SKUPAJ OBVLADOVANIH DRUŽB, RAZPOREJENE IN IZMERJENE PO POŠTENI VREDNOSTI PREK KAPITALA	 Da	  		  
176	DRUGE KRATKOROČNE FINANČNE NALOŽBE, RAZPOREJENE IN IZMERJENE PO NABAVNI VREDNOSTI	 Da			
1760	DRUGE KRATKOROČNE FINANČNE NALOŽBE, RAZPOREJENE IN IZMERJENE PO NABAVNI VREDNOSTI	 Da			
177	DRUGE KRATKOROČNE FINANČNE NALOŽBE, RAZPOREJENE IN IZMERJENE PO POŠTENI VREDNOSTI PREK POSLOVNEGA IZIDA	 Da			
178	DRUGE KRATKOROČNE FINANČNE NALOŽBE, RAZPOREJENE IN IZMERJENE PO POŠTENI VREDNOSTI PREK KAPITALA OZIROMA LASTNEGA VIRA SREDSTEV	 Da			
179	OSLABITEV VREDNOSTI KRATKOROČNIH FINANČNIH NALOŽB	 Da			
18	KRATKOROČNA POSOJILA IN KRATKOROČNE TERJATVE ZA NEVPLAČANI KAPITAL	  			
180	KRATKOROČNA POSOJILA, DANA NA PODLAGI POSOJILNIH POGODB ORGANIZACIJAM V SKUPINI	 Da			
181	KRATKOROČNA POSOJILA, DANA NA PODLAGI POSOJILNIH POGODB PRIDRUŽENIM ORGANIZACIJAM IN SKUPAJ OBVLADOVANIM DRUŽBAM	 Da			
182	KRATKOROČNA POSOJILA, DANA DRUGIM, VKLJUČNO S KRATKOROČNIMI TERJATVAMI IZ FINANČNEGA NAJEMA	 Da			
1820	POSOJILA DANA DRUGIM	 Da			
183	KRATKOROČNI DEPOZITI V BANKAH IN DRUGIH FINANČNIH ORGANIZACIJAH	 Da			
1830	DEPOZITI V BANKAH IN DRUGIH FINANČNIH ORGANIZACIJAH	 Da			
184	DANA KRATKOROČNA POSOJILA Z ODKUPOM OBVEZNIC	 Da			
185	PREJETE MENICE	 Da			
186	DANA KRATKOROČNA POSOJILA Z ODKUPOM DRUGIH DOLŽNIŠKIH VREDNOSTNIH PAPIRJEV	 Da			
187	KRATKOROČNO NEVPLAČANI VPOKLICANI KAPITAL	 Da			
189	OSLABITEV VREDNOSTI KRATKOROČNIH POSOJIL	 Da			
19	KRATKOČNE AKTIVNE ČASOVNE RAZMEJITVE	  			
190	KRATKOROČNO ODLOŽENI STROŠKI OZIROMA ODHODKI	 Da			
1900	ODLOŽENI STROŠKI OZIROMA ODHODKI	 Da			
191	KRATKOROČNO NEZARAČUNANI PRIHODKI	 Da			
192	VREDNOTNICE	 Da			
195	DDV OD PREJETIH PREDUJMOV	 Da			
1950	DDV OD PREJETIH PREDUJMOV	 Da			
2	KRATKOROČNE OBVEZNOSTI (DOLGOVI) IN KRATKOROČNE PASIVNE ČASOVNE RAZMEJITVE	  			
21	OBVEZNOSTI, VKLJUČENE V SKUPINE ZA ODTUJITEV	  			
210	OBVEZNOSTI, VKLJUČENE V SKUPINE ZA ODTUJITEV	 Da			
22	KRATKOROČNE OBVEZNOSTI (DOLGOVI) DO DOBAVITELJEV	  			
220	KRATKOROČNE OBVEZNOSTI (DOLGOVI) DO DOBAVITELJEV V DRŽAVI	 Da			
2200	KRATKOROČNE OBVEZNOSTI DO DOBAVITELJEV V DRŽAVI	 Da			
2209	KRATKOROČNE OBVEZNOSTI DO DOBAVITELJEV V DRŽAVI-SPORNO	 Da			
221	KRATKOROČNE OBVEZNOSTI (DOLGOVI) DO DOBAVITELJEV V TUJINI	 Da			
2210	KRATKOROČNE OBVEZNOSTI DO DOBAVITELJEV V TUJINI	 Da			
222	KRATKOROČNI BLAGOVNI KREDITI, PREJETI V DRŽAVI	 Da			
223	KRATKOROČNI BLAGOVNI KREDITI, PREJETI V TUJINI	 Da			
224	KRATKOROČNE OBVEZNOSTI (DOLGOVI) ZA NEZARAČUNANE BLAGO IN STORITVE	 Da			
23	PREJETI KRATKOROČNI PREDUJMI IN VARŠČINE	  			
230	PREJETI KRATKOROČNI PREDUJMI	 Da			
2300	PREJETI PREDUJMI	 Da			
231	PREJETE KRATKOROČNE VARŠČINE	 Da			
2310	PREJETE VARŠČINE	 Da			
24	KRATKOROČNE OBVEZNOSTI IZ POSLOVANJA ZA TUJ RAČUN	  			
240	KRATKOROČNE OBVEZNOSTI IZ IZVOZA ZA TUJ RAČUN	 Da			
241	KRATKOROČNE OBVEZNOSTI DO UVOZNIKOV	 Da			
242	KRATKOROČNE OBVEZNOSTI IZ KOMISIJSKE IN KONSIGNACIJSKE PRODAJE	 Da			
245	DRUGE KRATKOROČNE OBVEZNOSTI IZ POSLOVANJA ZA TUJ RAČUN	 Da			
25	KRATKOROČNE OBVEZNOSTI ZA PLAČE	  			
250	KRATKOROČNE OBVEZNOSTI ZA VRAČUNANE IN NEOBRAČUNANE PLAČE	 Da			
2500	OBVEZNOSTI ZA VRAČUNANE IN NEOBRAČUNANE PLAČE	 Da			
251	KRATKOROČNE OBVEZNOSTI ZA NETO PLAČE IN NADOMESTILA PLAČ	 Da			
2510	OBVEZNOSTI ZA ČISTE PLAČE IN NADOMESTILA PLAČ	 Da			
252	KRATKOROČNE OBVEZNOSTI ZA PRISPEVKE ZA SOCIALNO VARNOST PO VRSTAH PRISPEVKOV	 Da			
253	KRATKOROČNE OBVEZNOSTI ZA PRISPEVKE IZ BRUTO PLAČ IN NADOMESTIL PLAČ	 Da			
2530	OBVEZNOSTI ZA PRISPEVKE SPIZ IZ BRUTO PLAČ	 Da			
2531	OBVEZNOSTI ZA PRISPEVKE ZA ZDRAV. ZAVAR. IZ BRUTO PLAČ	 Da			
2533	OBVEZNOSTI ZA PRISPEVKE ZA ZAPOSL. IZ BRUTO PLAČ	 Da			
