CodeInternational	Code	Name	CountryN3Code
SI-3223	3223	Loka pri Žusmu	705
SI-3224	3224	Dobje pri Planini	705
SI-3225	3225	Planina pri Sevnici	705
SI-3230	3230	Šentjur	705
SI-3231	3231	Grobelno	705
SI-3232	3232	Ponikva	705
SI-3233	3233	Kalobje	705
SI-3240	3240	Šmarje pri Jelšah	705
SI-3241	3241	Podplat	705
SI-3250	3250	Rogaška Slatina	705
SI-3252	3252	Rogatec	705
SI-3253	3253	Pristava pri Mestinju	705
SI-3254	3254	Podčetrtek	705
SI-3255	3255	Buče	705
SI-3256	3256	Bistrica ob Sotli	705
SI-3257	3257	Podsreda	705
SI-3260	3260	Kozje	705
SI-3261	3261	Lesično	705
SI-3262	3262	Prevorje	705
SI-3263	3263	Gorica pri Slivnici	705
SI-3264	3264	Sveti Štefan	705
SI-3270	3270	Laško	705
SI-3271	3271	Šentrupert	705
SI-3272	3272	Rimske Toplice	705
SI-3273	3273	Jurklošter	705
SI-3301	3301	Petrovče	705
SI-3302	3302	Griže	705
SI-3303	3303	Gomilsko	705
SI-3304	3304	Tabor	705
SI-3305	3305	Vransko	705
SI-3310	3310	Žalec	705
SI-3311	3311	Šempeter v Savinjski dolini	705
SI-3312	3312	Prebold	705
SI-3313	3313	Polzela	705
SI-3314	3314	Braslovče	705
SI-3320	3320	Velenje 	705
SI-3322	3322	Velenje - P.P.	705
SI-3325	3325	Šoštanj	705
SI-3326	3326	Topolšica	705
SI-3327	3327	Šmartno ob Paki	705
SI-3330	3330	Mozirje	705
SI-3331	3331	Nazarje	705
SI-3332	3332	Rečica ob Savinji	705
SI-3333	3333	Ljubno ob Savinji	705
SI-3334	3334	Luče	705
SI-3335	3335	Solčava	705
SI-3341	3341	Šmartno ob Dreti	705
SI-3342	3342	Gornji Grad	705
SI-3503	3503	Gorenje	705
SI-3504	3504	ERA	705
SI-3505	3505	Merkur	705
SI-3600	3600	Pošta Slovenije, PE Celje	705
SI-4000	4000	Kranj 	705
SI-4001	4001	Kranj – P.P.	705
SI-4201	4201	Zgornja Besnica	705
SI-4202	4202	Naklo	705
SI-4203	4203	Duplje	705
SI-4204	4204	Golnik	705
SI-4205	4205	Preddvor	705
SI-4206	4206	Zgornje Jezersko	705
SI-4207	4207	Cerklje na Gorenjskem	705
SI-4208	4208	Šenčur	705
SI-4209	4209	Žabnica	705
SI-4210	4210	Brnik - Aerodrom	705
SI-4211	4211	Mavčiče	705
SI-4212	4212	Visoko	705
SI-4220	4220	Škofja Loka	705
SI-4223	4223	Poljane nad Škofjo Loko	705
SI-4224	4224	Gorenja vas	705
SI-4225	4225	Sovodenj	705
SI-4226	4226	Žiri	705
SI-4227	4227	Selca	705
SI-4228	4228	Železniki	705
SI-4229	4229	Sorica	705
SI-4240	4240	Radovljica	705
SI-4243	4243	Brezje	705
SI-4244	4244	Podnart	705
SI-4245	4245	Kropa	705
SI-4246	4246	Kamna Gorica	705
SI-4247	4247	Zgornje Gorje	705
SI-4248	4248	Lesce	705
SI-4260	4260	Bled	705
SI-4263	4263	Bohinjska Bela	705
SI-4264	4264	Bohinjska Bistrica	705
SI-4265	4265	Bohinjsko jezero	705
SI-4267	4267	Srednja vas v Bohinju	705
SI-4270	4270	Jesenice	705
SI-4273	4273	Blejska Dobrava	705
SI-4274	4274	Žirovnica	705
SI-4275	4275	Begunje na Gorenjskem	705
SI-4276	4276	Hrušica	705
SI-4280	4280	Kranjska Gora	705
SI-4281	4281	Mojstrana	705
SI-4282	4282	Gozd Martuljek	705
SI-4283	4283	Rateče - Planica	705
SI-4290	4290	Tržič	705
SI-4294	4294	Križe	705
SI-4501	4501	Merkur	705
SI-4502	4502	Sava	705
SI-4600	4600	Pošta Slovenije, PE Kranj	705
SI-5000	5000	Nova Gorica 	705
SI-5001	5001	Nova Gorica - P.P.	705
SI-5210	5210	Deskle	705
SI-5211	5211	Kojsko	705
SI-5212	5212	Dobrovo v Brdih	705
SI-5213	5213	Kanal	705
SI-5214	5214	Kal nad Kanalom	705
SI-5215	5215	Ročinj	705
SI-5216	5216	Most na Soči	705
SI-5220	5220	Tolmin	705
SI-5222	5222	Kobarid	705
SI-5223	5223	Breginj	705
SI-5224	5224	Srpenica	705
SI-5230	5230	Bovec	705
SI-5231	5231	Log pod Mangartom	705
SI-5232	5232	Soča	705
SI-5242	5242	Grahovo ob Bači	705
SI-5243	5243	Podbrdo	705
SI-5250	5250	Solkan	705
SI-5251	5251	Grgar	705
SI-5252	5252	Trnovo pri Gorici	705
SI-5253	5253	Čepovan	705
SI-5261	5261	Šempas	705
SI-5262	5262	Črniče	705
SI-5263	5263	Dobravlje	705
SI-5270	5270	Ajdovščina	705
SI-5271	5271	Vipava	705
SI-5272	5272	Podnanos	705
SI-5273	5273	Col	705
SI-5274	5274	Črni Vrh nad Idrijo	705
SI-5275	5275	Godovič	705
SI-5280	5280	Idrija	705
SI-5281	5281	Spodnja Idrija	705
SI-5282	5282	Cerkno	705
SI-5283	5283	Slap ob Idrijci	705
SI-5290	5290	Šempeter pri Gorici	705
SI-5291	5291	Miren	705
SI-5292	5292	Renče	705
SI-5293	5293	Volčja Draga	705
SI-5294	5294	Dornberk	705
SI-5295	5295	Branik	705
SI-5296	5296	Kostanjevica na Krasu	705
SI-5297	5297	Prvačina	705
SI-5600	5600	Pošta Slovenije, PE Nova Gorica	705
SI-6000	6000	Koper/Capodistria 	705
SI-6001	6001	Koper/Capodistria – P.P.	705
SI-6210	6210	Sežana	705
SI-6215	6215	Divača	705
SI-6216	6216	Podgorje	705
SI-6217	6217	Vremski Britof	705
SI-6219	6219	Lokev	705
SI-6221	6221	Dutovlje	705
SI-6222	6222	Štanjel	705
SI-6223	6223	Komen	705
SI-6224	6224	Senožeče	705
SI-6225	6225	Hruševje	705
SI-6230	6230	Postojna	705
SI-6232	6232	Planina	705
SI-6240	6240	Kozina	705
SI-6242	6242	Materija	705
SI-6243	6243	Obrov	705
SI-6244	6244	Podgrad	705
SI-6250	6250	Ilirska Bistrica	705
SI-6251	6251	Ilirska Bistrica-Trnovo	705
SI-6253	6253	Knežak	705
SI-6254	6254	Jelšane	705
SI-6255	6255	Prem	705
SI-6256	6256	Košana	705
SI-6257	6257	Pivka	705
SI-6258	6258	Prestranek	705
SI-6271	6271	Dekani	705
SI-6272	6272	Gračišče	705
SI-6273	6273	Marezige	705
SI-6274	6274	Šmarje	705
SI-6275	6275	Črni Kal	705
SI-6276	6276	Pobegi	705
SI-6280	6280	Ankaran/Ancarano	705
SI-6281	6281	Škofije	705
SI-6310	6310	Izola/Isola	705
SI-6320	6320	Portorož/Portorose	705
SI-6330	6330	Piran/Pirano	705
SI-6333	6333	Sečovlje/Sicciole	705
SI-6501	6501	Luka Koper	705
SI-6502	6502	Banka Koper	705
SI-6503	6503	Adriatic Slovenica, Zavarovalna družba	705
SI-6504	6504	Intereuropa	705
SI-6600	6600	Pošta Slovenije, PE Koper	705
SI-8000	8000	Novo mesto	705
SI-8001	8001	Novo mesto - P.P.	705
SI-8210	8210	Trebnje	705
SI-8211	8211	Dobrnič	705
SI-8212	8212	Velika Loka	705
SI-8213	8213	Veliki Gaber	705
SI-8216	8216	Mirna Peč	705
SI-8220	8220	Šmarješke Toplice	705
SI-8222	8222	Otočec	705
SI-8230	8230	Mokronog	705
SI-8231	8231	Trebelno 	705
SI-8232	8232	Šentrupert	705
SI-8233	8233	Mirna	705
SI-8250	8250	Brežice	705
SI-8251	8251	Čatež ob Savi	705
SI-8253	8253	Artiče	705
SI-8254	8254	Globoko	705
SI-8255	8255	Pišece	705
SI-8256	8256	Sromlje 	705
SI-8257	8257	Dobova	705
SI-8258	8258	Kapele	705
SI-8259	8259	Bizeljsko	705
SI-8261	8261	Jesenice na Dolenjskem	705
SI-8262	8262	Krška vas	705
SI-8263	8263	Cerklje ob Krki	705
SI-8270	8270	Krško	705
SI-8272	8272	Zdole 	705
SI-8273	8273	Leskovec pri Krškem	705
SI-8274	8274	Raka	705
SI-8275	8275	Škocjan	705
SI-8276	8276	Bučka 	705
SI-8280	8280	Brestanica	705
SI-8281	8281	Senovo	705
SI-8282	8282	Koprivnica	705
SI-8283	8283	Blanca	705
SI-8290	8290	Sevnica	705
SI-8292	8292	Zabukovje 	705
SI-8293	8293	Studenec	705
SI-8294	8294	Boštanj	705
SI-8295	8295	Tržišče	705
SI-8296	8296	Krmelj	705
SI-8297	8297	Šentjanž	705
SI-8310	8310	Šentjernej	705
SI-8311	8311	Kostanjevica na Krki	705
SI-8312	8312	Podbočje	705
SI-8321	8321	Brusnice	705
SI-8322	8322	Stopiče	705
SI-8323	8323	Uršna sela	705
SI-8330	8330	Metlika	705
SI-8331	8331	Suhor	705
